# POP concentration in blubber of bottlenose dolphins. Digitised from Figure 2 of:,,
"# Balmer, B.C. et al., 2011. Relationship between persistent organic pollutants (POPs) and ranging patterns in common bottlenose dolphins (Tursiops truncatus) from coastal Georgia, USA. Science of The Total Environment 409, 2094Ð2101. https://doi.org/10.1016/j.scitotenv.2011.01.052",,
# ,,
sex,distance_km,pop_conc
male,6.3659,0.842941
male,6.4921,0.817358
male,7.559,0.830135
male,7.827,0.838271
male,8.8856,0.819653
male,10.3516,0.833587
male,10.8933,0.870789
male,12.4663,0.787048
male,12.9854,0.739367
male,12.9952,0.776576
male,13.536,0.81029
male,15.6636,0.812588
male,16.1512,0.646303
male,16.174,0.732349
male,17.1185,0.784663
male,19.7776,0.785791
male,21.8774,0.683438
male,25.0615,0.658979
male,25.8687,0.695015
male,26.4045,0.710124
male,29.3186,0.670551
male,29.9648,0.600776
male,30,0.733333
male,30.0059,0.755426
male,30.0139,0.785659
male,31.6101,0.789126
male,33.1939,0.746083
male,33.4539,0.723986
male,44.342,0.675009
male,46.6016,0.673817
male,46.9825,0.60637
male,49.2527,0.644712
male,49.5634,0.813313
male,51.4257,0.81794
male,51.5151,0.653986
male,56.9634,0.645776
male,59.1934,0.532956
male,60.8054,0.595726
male,60.9562,0.663166
male,62.1416,0.62129
male,63.0669,0.601511
male,63.6218,0.688713
male,64.0092,0.645685
male,64.4062,0.638703
male,64.9181,0.564278
male,64.9435,0.659626
male,65.3281,0.606133
male,65.474,0.654968
male,65.5791,0.550316
male,66.5199,0.588675
male,66.791,0.608439
male,67.6053,0.67122
male,68.9233,0.628179
male,69.3234,0.632825
male,69.9806,0.60491
male,70.2446,0.59793
male,70.385,0.625835
male,70.7872,0.63862
male,71.0395,0.587454
male,72.6351,0.588596
male,73.7159,0.653699
male,74.2409,0.628111
male,75.1838,0.67461
male,75.949,0.552507
male,77.5486,0.568766
male,78.6217,0.604798
male,78.8557,0.485028
male,79.6583,0.503622
male,80.6188,0.6164
male,80.7437,0.586166
male,82.3158,0.498936
female,4.77,0.822031
female,7.5692,0.868507
female,8.0972,0.854547
female,9.0247,0.842907
female,13.1489,0.854481
female,13.787,0.754473
female,14.4625,0.795162
female,15.9431,0.863748
female,18.3289,0.836972
female,18.587,0.807899
female,20.5697,0.764851
female,26.6855,0.767097
female,44.9207,0.851745
female,64.3867,0.565447
female,64.4179,0.682889
female,64.9815,0.802649
female,65.483,0.688689
female,67.3364,0.659595
female,67.4625,0.634012
female,69.0488,0.600271
female,70.5,0.558391
female,71.1823,0.624662
female,72.0894,0.536278
female,79.7996,0.535016
female,80.7802,0.723375
female,81.0013,0.554767
